iter	RMSE
0	8397.241696
1	7824.851898
2	7297.314151
3	6814.616281
4	6373.072534
5	5985.776031
6	5617.26382
7	5272.359501
8	4964.904735
9	4683.753888
10	4431.870978
11	4203.844692
12	3994.276125
13	3801.322191
14	3626.709575
15	3477.965763
16	3342.173827
17	3221.97747
18	3112.37949
19	3002.948429
20	2894.345945
21	2797.626791
22	2717.603038
23	2637.234167
24	2566.777337
25	2507.889802
26	2439.129081
27	2388.733543
28	2351.196804
29	2301.565548
30	2269.654599
31	2225.452809
32	2198.369765
33	2174.092785
34	2145.797829
35	2112.949914
36	2095.516906
37	2069.805926
38	2046.880308
39	2034.701149
40	2018.524469
41	1992.266608
42	1972.32103
43	1962.662874
44	1952.304054
45	1942.945276
46	1930.165231
47	1922.560183
48	1910.164788
49	1901.157902
50	1882.811704
51	1870.059298
52	1862.652096
53	1848.918313
54	1843.12202
55	1837.862786
56	1829.124592
57	1817.279046
58	1814.175448
59	1806.230591
60	1799.720123
61	1784.032836
62	1777.893712
63	1773.519326
64	1763.95814
65	1758.635632
66	1756.908587
67	1752.122771
68	1748.470137
69	1739.457555
70	1735.637369
71	1731.670808
72	1728.40582
73	1725.254919
74	1716.115203
75	1711.220444
76	1707.81448
77	1704.625254
78	1701.355532
79	1698.165453
80	1696.932194
81	1691.65931
82	1689.466214
83	1685.391832
84	1682.195239
85	1681.039214
86	1676.428895
87	1674.204866
88	1665.262178
89	1658.547705
90	1655.572566
91	1651.978534
92	1648.389502
93	1645.490543
94	1641.512688
95	1639.559055
96	1634.369356
97	1628.745874
98	1626.34441
99	1624.147844
100	1619.038984
101	1612.575654
102	1610.562257
103	1607.92291
104	1605.263509
105	1601.626413
106	1597.197079
107	1594.846954
108	1592.815025
109	1591.286435
110	1588.915387
111	1587.070547
112	1584.611016
113	1581.811764
114	1579.327081
115	1576.593272
116	1572.948987
117	1569.865012
118	1566.893119
119	1565.330064
120	1562.294223
121	1560.623214
122	1557.866259
123	1553.080237
124	1550.712263
125	1548.759069
126	1546.388742
127	1543.934353
128	1538.900137
129	1537.557523
130	1535.434624
131	1532.60513
132	1530.571559
133	1528.024032
134	1525.657837
135	1524.102027
136	1522.173525
137	1518.340157
138	1516.413656
139	1514.975713
140	1513.185311
141	1510.449543
142	1508.921156
143	1507.96355
144	1506.438616
145	1504.112699
146	1501.420611
147	1498.621191
148	1496.737832
149	1495.098144
150	1493.253489
151	1491.212783
152	1488.985648
153	1486.768657
154	1485.446908
155	1483.920069
156	1481.988762
157	1480.40268
158	1479.385006
159	1478.100884
160	1476.59657
