iter	Passed	Remaining
0	181	180904
1	199	99472
2	214	71238
3	229	57129
4	242	48354
5	257	42650
6	271	38499
7	284	35332
8	298	32839
9	312	30936
10	325	29280
11	339	27969
12	353	26868
13	367	25865
14	380	25003
15	394	24241
16	408	23612
17	423	23083
18	437	22586
19	453	22198
20	467	21772
21	480	21341
22	492	20905
23	504	20519
24	517	20173
25	530	19867
26	544	19626
27	559	19420
28	573	19188
29	584	18906
30	596	18654
31	609	18448
32	623	18280
33	636	18090
34	649	17900
35	661	17712
36	673	17531
37	686	17390
38	699	17231
39	715	17161
40	727	17008
41	742	16936
42	758	16876
43	772	16789
44	788	16733
45	804	16677
46	819	16619
47	835	16580
48	852	16540
49	866	16469
50	882	16415
51	897	16364
52	911	16282
53	929	16282
54	947	16287
55	963	16241
56	998	16519
57	1013	16454
58	1026	16372
59	1039	16292
60	1053	16212
61	1066	16129
62	1079	16054
63	1092	15977
64	1106	15909
65	1117	15818
66	1131	15757
67	1145	15706
68	1159	15641
69	1173	15593
70	1186	15530
71	1199	15465
72	1213	15405
73	1225	15337
74	1238	15276
75	1251	15218
76	1268	15205
77	1283	15176
78	1299	15151
79	1314	15111
80	1327	15065
81	1340	15010
82	1354	14965
83	1368	14920
84	1380	14865
85	1392	14799
86	1404	14740
87	1417	14692
88	1432	14661
89	1445	14616
90	1459	14575
91	1472	14530
92	1484	14481
93	1498	14442
94	1511	14396
95	1524	14353
96	1538	14324
97	1555	14317
98	1571	14304
99	1585	14272
100	1599	14236
101	1612	14197
102	1625	14157
103	1638	14118
104	1651	14079
105	1665	14046
106	1678	14008
107	1691	13969
108	1703	13926
109	1717	13894
110	1730	13857
111	1742	13818
112	1755	13779
113	1767	13735
114	1780	13705
115	1794	13676
116	1808	13651
117	1825	13647
118	1840	13627
119	1853	13591
120	1866	13559
121	1881	13542
122	1893	13502
123	1908	13482
124	1923	13461
125	1936	13435
126	1949	13401
127	1962	13368
128	1975	13340
129	1989	13312
130	2002	13285
131	2016	13258
132	2029	13230
133	2042	13197
134	2055	13171
135	2070	13151
136	2083	13124
137	2098	13105
138	2112	13083
139	2125	13058
140	2139	13032
141	2152	13006
142	2165	12976
143	2178	12948
144	2192	12928
145	2205	12902
146	2219	12879
147	2233	12857
148	2246	12831
149	2262	12822
150	2278	12808
151	2291	12784
152	2306	12771
153	2321	12752
154	2334	12728
155	2348	12704
156	2361	12680
157	2374	12655
158	2388	12632
159	2401	12605
160	2413	12578
161	2427	12555
162	2440	12534
163	2453	12508
164	2467	12485
165	2480	12460
166	2493	12436
167	2505	12410
168	2518	12383
169	2530	12355
170	2544	12334
171	2559	12320
172	2573	12301
173	2586	12279
174	2599	12255
175	2612	12232
176	2626	12210
177	2639	12190
178	2652	12167
179	2665	12144
180	2679	12123
181	2692	12103
182	2706	12082
183	2720	12066
184	2735	12050
185	2747	12024
186	2761	12004
187	2774	11984
188	2786	11955
189	2798	11931
190	2811	11907
191	2825	11890
192	2839	11872
193	2853	11854
194	2866	11835
195	2882	11823
196	2896	11805
197	2910	11788
198	2924	11773
199	2940	11761
200	2954	11744
201	2967	11724
202	2982	11708
203	2995	11688
204	3010	11673
205	3022	11651
206	3036	11631
207	3051	11617
208	3064	11599
209	3078	11579
210	3090	11555
211	3103	11536
212	3116	11516
213	3130	11498
214	3143	11477
215	3157	11459
216	3171	11442
217	3187	11434
218	3202	11422
219	3216	11402
220	3229	11383
221	3243	11365
222	3259	11358
223	3276	11349
224	3292	11342
225	3307	11327
226	3320	11306
227	3333	11287
228	3347	11269
229	3359	11247
230	3373	11229
231	3386	11209
232	3399	11190
233	3412	11172
234	3425	11151
235	3440	11136
236	3456	11126
237	3470	11112
238	3484	11093
239	3497	11074
240	3509	11053
241	3522	11033
242	3534	11012
243	3549	10996
244	3564	10983
245	3579	10970
246	3592	10953
247	3606	10936
248	3619	10915
249	3630	10891
250	3643	10873
251	3656	10854
252	3670	10835
253	3683	10817
254	3696	10799
255	3710	10782
256	3724	10767
257	3738	10751
258	3753	10737
259	3767	10721
260	3780	10704
261	3793	10685
262	3806	10666
263	3820	10651
264	3834	10635
265	3847	10617
266	3862	10603
267	3876	10589
268	3890	10573
269	3905	10559
270	3920	10546
271	3935	10533
272	3949	10517
273	3963	10501
274	3977	10485
275	3987	10460
276	4001	10444
277	4015	10429
278	4029	10412
279	4044	10399
280	4057	10383
281	4071	10365
282	4085	10350
283	4098	10333
284	4112	10316
285	4124	10297
286	4138	10280
287	4150	10260
288	4164	10246
289	4180	10234
290	4194	10219
291	4207	10202
292	4221	10186
293	4235	10170
294	4251	10161
295	4269	10154
296	4285	10144
297	4300	10131
298	4313	10113
299	4326	10095
300	4340	10080
301	4354	10063
302	4366	10045
303	4379	10026
304	4392	10010
305	4406	9992
306	4420	9979
307	4435	9965
308	4449	9950
309	4462	9932
310	4475	9915
311	4489	9899
312	4503	9884
313	4516	9867
314	4530	9853
315	4546	9840
316	4563	9832
317	4576	9814
318	4589	9796
319	4602	9780
320	4616	9764
321	4629	9748
322	4643	9732
323	4658	9718
324	4672	9704
325	4687	9691
326	4702	9678
327	4717	9665
328	4731	9649
329	4744	9632
330	4757	9615
331	4768	9593
332	4781	9578
333	4795	9562
334	4808	9545
335	4822	9529
336	4835	9513
337	4849	9498
338	4864	9485
339	4879	9471
340	4893	9456
341	4907	9442
342	4921	9427
343	4935	9412
344	4950	9398
345	4964	9384
346	4980	9372
347	4992	9354
348	5006	9338
349	5020	9324
350	5034	9309
351	5048	9293
352	5061	9276
353	5073	9259
354	5086	9242
355	5099	9225
356	5112	9208
357	5126	9193
358	5139	9175
359	5152	9159
360	5166	9144
361	5178	9127
362	5192	9112
363	5205	9095
364	5218	9079
365	5234	9066
366	5250	9055
367	5265	9043
368	5280	9029
369	5294	9015
370	5308	9000
371	5322	8984
372	5335	8968
373	5349	8954
374	5363	8938
375	5377	8924
376	5393	8912
377	5407	8897
378	5421	8883
379	5437	8871
380	5452	8859
381	5466	8844
382	5481	8830
383	5494	8814
384	5511	8803
385	5528	8794
386	5544	8782
387	5560	8771
388	5576	8758
389	5592	8748
390	5607	8733
391	5621	8719
392	5635	8703
393	5649	8689
394	5662	8672
395	5675	8656
396	5690	8643
397	5707	8632
398	5721	8618
399	5735	8602
400	5748	8586
401	5762	8571
402	5776	8556
403	5787	8537
404	5800	8522
405	5814	8506
406	5827	8490
407	5841	8476
408	5854	8460
409	5868	8444
410	5883	8430
411	5899	8419
412	5914	8406
413	5929	8393
414	5944	8379
415	5958	8364
416	5974	8352
417	5989	8338
418	6005	8327
419	6021	8315
420	6035	8300
421	6047	8283
422	6061	8268
423	6075	8253
424	6089	8238
425	6102	8222
426	6115	8206
427	6128	8190
428	6141	8174
429	6155	8159
430	6168	8143
431	6180	8126
432	6193	8110
433	6206	8094
434	6219	8078
435	6235	8065
436	6250	8052
437	6266	8040
438	6281	8026
439	6295	8012
440	6308	7996
441	6320	7979
442	6332	7962
443	6345	7946
444	6358	7930
445	6372	7915
446	6384	7897
447	6398	7883
448	6411	7868
449	6426	7854
450	6440	7839
451	6456	7828
452	6473	7816
453	6490	7805
454	6506	7793
455	6522	7780
456	6540	7770
457	6555	7757
458	6571	7745
459	6586	7732
460	6600	7717
461	6615	7703
462	6630	7690
463	6645	7676
464	6660	7663
465	6676	7650
466	6694	7640
467	6709	7627
468	6726	7615
469	6741	7602
470	6757	7589
471	6773	7577
472	6789	7564
473	6806	7553
474	6821	7539
475	6835	7524
476	6848	7509
477	6863	7494
478	6876	7479
479	6889	7464
480	6903	7448
481	6917	7434
482	6932	7420
483	6947	7407
484	6963	7393
485	6978	7381
486	6994	7368
487	7009	7354
488	7025	7341
489	7043	7330
490	7059	7318
491	7075	7305
492	7091	7292
493	7109	7281
494	7122	7266
495	7137	7252
496	7154	7241
497	7170	7228
498	7184	7213
499	7199	7199
500	7214	7185
501	7231	7173
502	7247	7160
503	7260	7145
504	7275	7131
505	7291	7118
506	7305	7103
507	7318	7088
508	7332	7073
509	7346	7058
510	7361	7044
511	7375	7030
512	7391	7016
513	7404	7001
514	7419	6987
515	7436	6975
516	7451	6961
517	7463	6945
518	7478	6930
519	7491	6915
520	7504	6899
521	7518	6884
522	7532	6870
523	7545	6854
524	7558	6838
525	7571	6823
526	7584	6807
527	7596	6790
528	7607	6773
529	7620	6758
530	7634	6742
531	7647	6727
532	7661	6712
533	7675	6697
534	7687	6681
535	7701	6667
536	7717	6654
537	7733	6640
538	7748	6627
539	7763	6613
540	7778	6599
541	7793	6586
542	7810	6573
543	7826	6560
544	7841	6546
545	7857	6533
546	7872	6519
547	7887	6505
548	7901	6491
549	7915	6475
550	7928	6460
551	7943	6446
552	7958	6432
553	7972	6417
554	7987	6404
555	8002	6390
556	8018	6377
557	8034	6364
558	8049	6350
559	8063	6335
560	8078	6321
561	8092	6306
562	8104	6290
563	8117	6275
564	8131	6260
565	8144	6245
566	8157	6229
567	8171	6214
568	8184	6199
569	8197	6184
570	8210	6168
571	8226	6155
572	8244	6143
573	8260	6130
574	8274	6115
575	8287	6100
576	8300	6085
577	8313	6069
578	8326	6054
579	8340	6039
580	8353	6024
581	8366	6009
582	8380	5994
583	8395	5980
584	8408	5964
585	8422	5950
586	8435	5934
587	8448	5919
588	8461	5904
589	8475	5889
590	8487	5873
591	8500	5858
592	8516	5844
593	8531	5831
594	8546	5817
595	8561	5803
596	8577	5790
597	8592	5776
598	8608	5762
599	8624	5749
600	8639	5735
601	8653	5721
602	8668	5706
603	8683	5693
604	8697	5678
605	8711	5663
606	8723	5648
607	8737	5633
608	8751	5618
609	8765	5604
610	8780	5590
611	8793	5574
612	8806	5559
613	8819	5544
614	8833	5529
615	8846	5514
616	8861	5500
617	8876	5486
618	8891	5472
619	8904	5457
620	8917	5442
621	8934	5429
622	8951	5416
623	8966	5402
624	8983	5389
625	8999	5376
626	9014	5362
627	9028	5348
628	9043	5333
629	9055	5318
630	9068	5303
631	9082	5288
632	9094	5273
633	9108	5257
634	9120	5242
635	9133	5227
636	9146	5212
637	9160	5197
638	9173	5182
639	9186	5167
640	9198	5151
641	9211	5136
642	9226	5122
643	9243	5109
644	9260	5096
645	9273	5081
646	9286	5066
647	9300	5051
648	9313	5036
649	9326	5021
650	9339	5006
651	9352	4991
652	9364	4976
653	9377	4961
654	9391	4946
655	9404	4931
656	9417	4916
657	9430	4901
658	9444	4886
659	9457	4872
660	9471	4857
661	9486	4843
662	9499	4828
663	9513	4813
664	9525	4798
665	9538	4783
666	9553	4769
667	9567	4754
668	9581	4740
669	9593	4725
670	9607	4710
671	9622	4696
672	9639	4683
673	9655	4670
674	9669	4655
675	9685	4642
676	9699	4627
677	9711	4612
678	9728	4599
679	9744	4585
680	9759	4571
681	9772	4556
682	9787	4542
683	9803	4528
684	9817	4514
685	9833	4501
686	9847	4486
687	9860	4471
688	9873	4456
689	9886	4441
690	9900	4427
691	9913	4412
692	9926	4397
693	9940	4382
694	9955	4368
695	9969	4354
696	9986	4341
697	10002	4327
698	10017	4313
699	10031	4299
700	10046	4285
701	10060	4270
702	10075	4256
703	10090	4242
704	10104	4228
705	10117	4213
706	10130	4198
707	10144	4183
708	10157	4169
709	10170	4154
710	10183	4139
711	10196	4124
712	10209	4109
713	10224	4095
714	10242	4082
715	10259	4069
716	10272	4054
717	10286	4040
718	10299	4025
719	10312	4010
720	10325	3995
721	10337	3980
722	10351	3965
723	10364	3951
724	10378	3936
725	10392	3922
726	10405	3907
727	10419	3892
728	10433	3878
729	10446	3863
730	10459	3848
731	10472	3834
732	10486	3819
733	10501	3805
734	10514	3791
735	10528	3776
736	10541	3761
737	10554	3747
738	10567	3732
739	10578	3716
740	10591	3701
741	10604	3687
742	10618	3672
743	10631	3658
744	10645	3643
745	10658	3629
746	10672	3614
747	10686	3600
748	10699	3585
749	10712	3570
750	10725	3556
751	10738	3541
752	10752	3527
753	10765	3512
754	10779	3497
755	10792	3483
756	10805	3468
757	10819	3454
758	10834	3440
759	10848	3425
760	10863	3411
761	10877	3397
762	10892	3383
763	10905	3368
764	10919	3354
765	10934	3340
766	10947	3325
767	10962	3311
768	10976	3297
769	10989	3282
770	11003	3268
771	11018	3254
772	11032	3239
773	11047	3225
774	11062	3211
775	11076	3197
776	11090	3183
777	11104	3168
778	11118	3154
779	11133	3140
780	11147	3125
781	11160	3111
782	11174	3096
783	11187	3082
784	11200	3067
785	11215	3053
786	11231	3039
787	11248	3026
788	11263	3012
789	11277	2997
790	11289	2983
791	11302	2968
792	11316	2954
793	11331	2939
794	11344	2925
795	11356	2910
796	11369	2895
797	11382	2881
798	11395	2866
799	11409	2852
800	11423	2838
801	11438	2823
802	11451	2809
803	11465	2795
804	11478	2780
805	11493	2766
806	11509	2752
807	11523	2738
808	11537	2723
809	11551	2709
810	11565	2695
811	11578	2680
812	11593	2666
813	11607	2652
814	11621	2638
815	11636	2623
816	11652	2610
817	11667	2595
818	11680	2581
819	11695	2567
820	11709	2552
821	11723	2538
822	11735	2523
823	11749	2509
824	11761	2494
825	11775	2480
826	11788	2466
827	11801	2451
828	11814	2437
829	11828	2422
830	11842	2408
831	11855	2393
832	11869	2379
833	11883	2365
834	11896	2350
835	11910	2336
836	11924	2322
837	11939	2308
838	11952	2293
839	11965	2279
840	11978	2264
841	11992	2250
842	12006	2235
843	12020	2221
844	12033	2207
845	12047	2193
846	12062	2178
847	12077	2164
848	12090	2150
849	12103	2135
850	12117	2121
851	12128	2106
852	12139	2092
853	12153	2077
854	12166	2063
855	12179	2048
856	12192	2034
857	12206	2020
858	12222	2006
859	12237	1992
860	12253	1978
861	12267	1963
862	12280	1949
863	12293	1935
864	12304	1920
865	12317	1905
866	12331	1891
867	12344	1877
868	12359	1863
869	12373	1848
870	12386	1834
871	12400	1820
872	12413	1805
873	12427	1791
874	12442	1777
875	12457	1763
876	12471	1749
877	12487	1735
878	12502	1721
879	12518	1707
880	12533	1692
881	12546	1678
882	12559	1664
883	12573	1649
884	12587	1635
885	12600	1621
886	12613	1606
887	12628	1592
888	12643	1578
889	12657	1564
890	12670	1550
891	12683	1535
892	12697	1521
893	12712	1507
894	12726	1493
895	12739	1478
896	12752	1464
897	12766	1450
898	12779	1435
899	12792	1421
900	12805	1407
901	12818	1392
902	12832	1378
903	12848	1364
904	12861	1350
905	12875	1335
906	12888	1321
907	12901	1307
908	12915	1292
909	12928	1278
910	12941	1264
911	12954	1250
912	12968	1235
913	12981	1221
914	12994	1207
915	13009	1192
916	13023	1178
917	13039	1164
918	13053	1150
919	13067	1136
920	13082	1122
921	13097	1107
922	13110	1093
923	13124	1079
924	13137	1065
925	13151	1050
926	13164	1036
927	13179	1022
928	13193	1008
929	13208	994
930	13225	980
931	13241	966
932	13256	951
933	13269	937
934	13282	923
935	13295	909
936	13308	894
937	13323	880
938	13335	866
939	13348	852
940	13361	837
941	13373	823
942	13386	809
943	13400	794
944	13413	780
945	13425	766
946	13439	752
947	13454	737
948	13469	723
949	13484	709
950	13499	695
951	13513	681
952	13526	667
953	13541	652
954	13555	638
955	13568	624
956	13582	610
957	13594	595
958	13607	581
959	13620	567
960	13634	553
961	13648	539
962	13661	524
963	13674	510
964	13686	496
965	13699	482
966	13711	467
967	13724	453
968	13738	439
969	13750	425
970	13762	411
971	13776	396
972	13790	382
973	13803	368
974	13817	354
975	13830	340
976	13844	325
977	13858	311
978	13872	297
979	13886	283
980	13900	269
981	13914	255
982	13927	240
983	13940	226
984	13953	212
985	13967	198
986	13981	184
987	13994	169
988	14007	155
989	14020	141
990	14035	127
991	14049	113
992	14063	99
993	14078	84
994	14092	70
995	14106	56
996	14120	42
997	14133	28
998	14146	14
999	14159	0
