date,time,generation,temp,precipitation,wind_speed,wind_direction,humidity,vapor_pressure,local_pressure,sunshine,insolation,snow
2018-01-01,1,0,2.2,,1.4,50,55,3.9,1017.2,,,
2018-01-01,2,0,1.8,,2.1,50,55,3.8,1017.1,,,
2018-01-01,3,0,1.9,,0.8,20,58,4.1,1017.4,,,
2018-01-01,4,0,1.2,,1.7,20,61,4.1,1017.8,,,
2018-01-01,5,0,-0.1,,1.6,50,63,3.8,1017.9,,,
2018-01-01,6,0,-0.5,,2,50,63,3.7,1017.8,,,
2018-01-01,7,0,-0.7,,2.1,50,62,3.6,1017.5,,,
2018-01-01,8,13.176,-0.3,,1.4,20,59,3.5,1018,,,
2018-01-01,9,2012.817,-0.8,,0.9,290,65,3.8,1018.9,0,0.05,
2018-01-01,10,7760.763,0.3,,0.5,290,62,3.9,1019.6,0.8,0.39,
2018-01-01,11,13137.092,2.7,,0.6,20,52,3.9,1020.3,1,0.99,
2018-01-01,12,17701.606,4.3,,1.7,70,43,3.6,1020.4,1,1.54,
2018-01-01,13,18854.027,5.1,,2,50,40,3.5,1019.6,1,1.87,
2018-01-01,14,17789.971,6.6,,1.6,360,37,3.6,1018.8,1,2.04,
2018-01-01,15,14819.381,6.5,,2.5,340,37,3.6,1018.5,1,1.85,
2018-01-01,16,8887.555,6.1,,2.8,20,36,3.4,1018.5,1,1.64,
2018-01-01,17,3200.237,6.1,,2.3,360,35,3.3,1019.1,1,1.09,
2018-01-01,18,180.425,5.1,,2.3,20,38,3.3,1018.9,1,0.48,
2018-01-01,19,1199.04,4.1,,1.8,20,42,3.5,1019.3,0.1,0.08,
2018-01-01,20,425.28,3.7,,1.5,20,43,3.4,1019.4,,,
2018-01-01,21,426.24,2.6,,1.2,20,48,3.5,1019.3,,,
2018-01-01,22,313.92,1.7,,1.9,20,53,3.7,1019.6,,,
2018-01-01,23,0,1.7,,1.7,50,54,3.7,1020.1,,,
2018-01-01,24,0,0.6,,1.1,250,62,4,1020.7,,,
2018-01-02,1,0,0.5,,1,250,65,4.1,1020.9,,,
2018-01-02,2,0,0.1,,0.6,290,65,4,1020.8,,,
2018-01-02,3,0,-0.7,,0,0,72,4.2,1020.9,,,
2018-01-02,4,0,-0.5,,0.6,50,72,4.2,1021,,,
2018-01-02,5,0,-1.4,,0.4,0,77,4.2,1020.4,,,
2018-01-02,6,0,-2.6,,0,0,83,4.2,1020.3,,,
2018-01-02,7,0,-2.5,,0.2,0,83,4.2,1020.4,,,
2018-01-02,8,9.552,-2.6,,0.8,250,84,4.2,1021.1,,,
2018-01-02,9,1633.24,-2.1,,0,0,84,4.4,1021.4,0,0.01,
2018-01-02,10,6170.665,-1,,0.3,0,79,4.5,1021.2,0.3,0.3,
2018-01-02,11,10582.074,0.2,,0.6,230,73,4.5,1021.1,1,0.83,
2018-01-02,12,13965.046,1.8,,1.3,250,66,4.6,1021.4,1,1.29,
2018-01-02,13,14865.763,4.3,,0.2,0,57,4.8,1020.9,1,1.65,
2018-01-02,14,9604.844,5.7,,1.5,230,52,4.8,1019.8,0.9,1.76,
2018-01-02,15,5221.721,6.5,,0.8,250,53,5.1,1019,0.3,1.16,
2018-01-02,16,3962.827,6.8,,0.7,270,53,5.2,1018.5,0,0.68,
2018-01-02,17,484.098,7.4,,1.9,320,57,5.9,1018.5,0.4,0.66,
2018-01-02,18,5.112,6.8,,1.2,340,62,6.1,1018.7,0,0.14,
2018-01-02,19,1199.04,6.4,,2.1,290,69,6.6,1019.3,0,0.06,
2018-01-02,20,1216.32,5.8,,2.3,20,66,6.1,1019.4,,,
2018-01-02,21,459.84,3.9,,3,20,70,5.7,1019.4,,,
2018-01-02,22,326.4,3.3,,1.1,20,71,5.5,1019,,,
2018-01-02,23,0,2.5,,0.9,340,64,4.7,1019.5,,,
2018-01-02,24,0,1.7,,0.8,340,63,4.3,1020.4,,,
2018-01-03,1,0,1.1,,1.4,360,52,3.5,1020,,,
2018-01-03,2,0,0.6,,1.3,360,45,2.9,1020.8,,,
2018-01-03,3,0,0.8,,1.1,360,47,3,1020.9,,,
2018-01-03,4,0,0.7,,1.1,360,52,3.3,1021.3,,,
2018-01-03,5,0,0,,0.6,360,59,3.6,1021.1,,,
2018-01-03,6,0,-0.3,,1,360,60,3.6,1021.3,,,
2018-01-03,7,0,-1,,1.5,20,60,3.4,1021.9,,,
2018-01-03,8,10.44,-1.5,,1.8,20,58,3.2,1021.8,,,
2018-01-03,9,1916.742,-2.5,,2,50,58,3,1022.4,0,0.05,
2018-01-03,10,8106.542,-1.4,,2.5,50,55,3,1022.8,0.7,0.34,
2018-01-03,11,14199.021,0,,2.4,70,50,3,1023.3,1,1.03,
2018-01-03,12,19546.829,0.8,,0.7,70,44,2.9,1023.1,1,1.58,
2018-01-03,13,20104.395,2.2,,1.6,340,36,2.6,1022.2,1,1.92,
2018-01-03,14,16825.73,2.7,,1.9,340,37,2.8,1021,1,2.1,
2018-01-03,15,14869.817,3.2,,1.7,290,43,3.3,1020.8,1,1.77,
2018-01-03,16,9814.977,3.1,,2.5,360,42,3.2,1020.4,1,1.64,
2018-01-03,17,3887.484,3,,2.6,20,41,3.1,1020.6,1,1.24,
2018-01-03,18,189.215,1.6,,1.8,340,45,3.1,1020.7,1,0.6,
2018-01-03,19,1169.28,0.3,,2,20,52,3.2,1020.7,0.2,0.09,
2018-01-03,20,1186.56,-0.5,,1.8,20,58,3.4,1020.9,,,
2018-01-03,21,463.68,-1.2,,1.6,50,60,3.4,1021.5,,,
2018-01-03,22,395.52,-1.5,,1.4,20,62,3.4,1021.3,,,
2018-01-03,23,10.56,-1.4,,1.9,20,64,3.5,1021.4,,,
2018-01-03,24,0,-1.4,,1.6,50,66,3.6,1022,,,
2018-01-04,1,0,-1.1,,1.9,20,62,3.5,1021.4,,,
2018-01-04,2,0,-1.8,,2.3,50,61,3.3,1020.9,,,
2018-01-04,3,0,-1.9,,1.6,50,63,3.3,1021.1,,,
2018-01-04,4,0,-1.7,,1.8,50,63,3.4,1021.2,,,
2018-01-04,5,0,-1.3,,1.2,360,63,3.5,1021,,,
2018-01-04,6,0,-1.6,,1.7,20,64,3.5,1020.5,,,
2018-01-04,7,0,-2.2,,1.6,20,66,3.4,1020,,,
2018-01-04,8,0,-2.3,,1.6,50,67,3.5,1020.3,,,
2018-01-04,9,611.5,-2.1,,1.2,20,66,3.5,1020.1,0,0.05,
2018-01-04,10,2729.832,-1.9,,1.6,70,61,3.2,1020.2,0,0.17,
2018-01-04,11,4732.753,-1.4,,1,50,58,3.2,1020.3,0,0.41,
