"거래종류","매물종류","매물명","공급면적","전용면적","매매가","보증금","융자금","연세","월세","프리미엄","납부액","중도금","권리금","시설비","실투자액","무이자이주비","유이자이주비","동","층","총층수","룸수","욕실수","매물특징","베이","방향","난방방식","난방연료","계단형태","건축년도","지하철정보","입주가능","테마정보","매물설명","지번주소","도로명주소","건설사명"
"매매","아파트","부영6단지","79㎡","60㎡","17000","0","0",,,,,,,,,,,"603동","8","19","3개","2개","기본,일조량좋음,동간거리넓음","1","남","개별난방","도시가스","복합식","2002",,"1개월이내",,,"대구광역시 북구 구암동 789-1","대구광역시 북구 구암동 구암로49길 24","동광주택산업 주식회사"
"매매","아파트","부영6단지","79㎡","60㎡","17200","0","0",,,,,,,,,,,"603동","1","19","3개","2개","아이키우기좋은1층,단지내조망,방범창.","1","남","개별난방","도시가스","복합식","2002",,"1개월이내",,,"대구광역시 북구 구암동 789-1","대구광역시 북구 구암동 구암로49길 24","동광주택산업 주식회사"
"매매","아파트","아람주공9단지","79㎡","59㎡","15700","0","0",,,,,,,,,,,"906동","11","20","3개","1개","샤슈제외올수리교대부초인접속집조용교통편리","1","동","지역난방","열병합","복합식","1997",,"2개월이내",,,"대구광역시 달서구 도원동 1440","대구광역시 달서구 도원동 한실로 30","주식회사 청구"
"월세","아파트","아람주공9단지","79㎡","59㎡",,"1000","0",,"600",,,,,,,,,"전체 임대 / 907동","9","16","3개","1개","이사1개월 깨끗함","1","남","지역난방","열병합","복합식","1997",,"1개월이내",,,"대구광역시 달서구 도원동 1440","대구광역시 달서구 도원동 한실로 30","주식회사 청구"
"전세","아파트","시지대백신화창신맨션","82㎡","60㎡",,"15000","0",,,,,,,,,,,"전체 임대 / 207동","1","15","3개","1개","남향,내부샷시포함 올수리,7월10일이사","1","남","개별난방","도시가스","복도식","1994",,"1개월이내",,,"대구광역시 수성구 신매동 569","대구광역시 수성구 신매동 고산로 90","(주)대백종합건설.(주)신화주택.(주)창신주택"
"매매","아파트","대현뜨란채","141㎡","108㎡","39000","0","0",,,,,,,,,,,"105동","10","18","4개","2개","강화마루시공 벽 대리석교체 주방등교체 이사빨리됨","1","남","개별난방","도시가스","복합식","2006",,"1개월이내",,,"대구광역시 북구 대현동 527","대구광역시 북구 대현동 대현남로 28","(주)우방,화성산업(주)"
"매매","아파트","한마음","79㎡","59㎡","17500","15500","0",,,,,,,,,,,"107동","1","18","3개","1개",,"1","남","지역난방","열병합","계단식","1997",,"1개월이내",,"올수리,12월초세안고매수하실분","대구광역시 달서구 용산동 419-1","대구광역시 달서구 용산동 선원남로 151","세광주택(주),(주)신화주택,(주)제림주택"
"매매","아파트","청솔타운","88㎡","57㎡","17900","0","0",,,,,,,,,,,"215동","12","15","2개","1개","씽크대,신발장,보일러교체등 부분수리,이사정상","1","남","개별난방","도시가스","복도식","1995",,"1개월이내",,"씽크대,신발장,보일러교체등부분수리,이사정상","대구광역시 수성구 신매동 580","대구광역시 수성구 신매동 고산로 70","(주)영남건설"
"매매","아파트","한빛마을","81㎡","59㎡","17000","16000","0",,,,,,,,,,,"305동","15","20","3개","1개",,"1","남","지역난방","열병합","계단식","1998",,"1개월이내",,"올수리,21년5월중순안고매수하실분,초중고주변편의시설굿","대구광역시 달서구 이곡동 1306-4","대구광역시 달서구 이곡동 선원남로 99","(주)태왕"
"월세","아파트","한빛마을","81㎡","59㎡",,"1000","0",,"700",,,,,,,,,"전체 임대 / 317동","6","18","3개","1개",,"1","남","지역난방","열병합","계단식","1998",,"1개월이내",,,"대구광역시 달서구 이곡동 1306-4","대구광역시 달서구 이곡동 선원남로 99","(주)태왕"
"매매","아파트","성서와룡타운","76㎡","59㎡","16000","0","0",,,,,,,,,,,"302동","2","13","3개","1개","부분수리 초역세권  저층이지만 햇살좋음","1","남","개별난방","도시가스","복합식","1994",,"1개월이내",,,"대구광역시 달서구 이곡동 1256","대구광역시 달서구 이곡동 이곡동로 32","(주)삼주개발,(주)에덴주택,(주)화성개발"
